,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
0,DAL1973,26R,KATL,02/17/2017 06:10:00,B739,A05,13,8,986.84,740.12,330.82
1,DAL2374,26R,KATL,02/17/2017 06:55:00,B752,A04,12,8,871.09,,
2,DAL689,26R,KATL,02/17/2017 10:50:00,B712,B09,14,9,799.97,,
3,DAL2200,27L,KATL,02/17/2017 10:15:00,A321,T04,12,59,571.71,,
4,FFT429,27L,KATL,02/17/2017 10:15:00,A320,D3,16,59,700.75,,
5,ASQ5290,27L,KATL,02/17/2017 10:50:00,CRJ2,D31,5,59,374.63,,
6,ASQ5501,27L,KATL,02/17/2017 10:45:00,CRJ2,D38,4,60,304.8,,
7,ASQ5463,27L,KATL,02/17/2017 10:55:00,CRJ2,C40,3,60,283.5,,
8,DAL2840,27L,KATL,02/17/2017 07:35:00,B753,A01,13,59,442.76,,
9,DAL993,26R,KATL,02/17/2017 07:50:00,B752,E01,17,9,852.27,,
10,DAL823,26R,KATL,02/17/2017 11:00:00,MD88,B27,3,9,583.98,,
11,DAL1993,27L,KATL,02/17/2017 11:00:00,MD90,B09,14,60,526.78,,
12,ASQ5259,26R,KATL,02/17/2017 11:00:00,CRJ2,D08,15,9,353.6,,
13,DAL1188,27L,KATL,02/17/2017 11:00:00,B712,C55,4,59,780.18,,
14,DAL2488,27L,KATL,02/17/2017 10:55:00,MD88,B26,2,59,632.42,,
15,DAL1754,26R,KATL,02/17/2017 11:25:00,B712,D9A,16,9,633.09,,
16,DAL1100,27L,KATL,02/17/2017 11:20:00,MD88,A33,2,59,639.49,,
17,DAL2914,26R,KATL,02/17/2017 11:20:00,B712,C47,4,9,704.97,,
18,ASQ5491,27L,KATL,02/17/2017 10:50:00,CRJ2,D10,15,59,253.32,,
19,DAL1960,26R,KATL,02/17/2017 10:45:00,B712,C33,10,9,656.26,,
