,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
0,SWA1412,33L,KBWI,02/17/2017 14:25:00,B733,A10,11,10,331.77,387.98,148.23
1,SWA4413,33L,KBWI,02/17/2017 16:10:00,B737,A6,11,29-E,629.55,,
2,SWA490,33L,KBWI,02/17/2017 16:00:00,B737,A8,11,10,297.31,,
3,SWA473,33L,KBWI,02/17/2017 17:15:00,B737,B14,8,10,366.84,,
4,SWA1406,33L,KBWI,02/17/2017 17:20:00,B737,A10,11,10,259.87,,
5,AAL2248,33L,KBWI,02/17/2017 16:25:00,MD82,C6,7,29-E,455.3,,
6,ENY3426,33L,KBWI,02/17/2017 17:45:00,E145,C4,7,21,148.49,,
7,SWA499,33L,KBWI,02/17/2017 18:20:00,B737,A7,10,10,294.58,,
8,SWA1340,33L,KBWI,02/17/2017 17:35:00,B737,A11,10,10,317.1,,
9,SWA608,33L,KBWI,02/17/2017 18:05:00,B737,A6,11,29-E,714.86,,
10,SWA1864,33L,KBWI,02/17/2017 18:10:00,B733,B10,8,10,355.88,,
11,SWA692,33L,KBWI,02/17/2017 17:00:00,B737,A8,11,10,261.95,,
12,SWA491,33L,KBWI,02/17/2017 19:40:00,B737,B12,8,10,393.64,,
13,SWA4677,33L,KBWI,02/17/2017 20:10:00,B737,B15,7,21,369.64,,
14,ASA718,33L,KBWI,02/17/2017 16:35:00,B739,C2,7,10,349.15,,
15,NKS202,33L,KBWI,02/17/2017 19:03:00,A319,D10,6,10,453.8,,
16,SWA9014,33L,KBWI,02/17/2017 19:15:00,B733,B2,8,10,386.49,,
17,AAL194,33L,KBWI,02/17/2017 19:33:00,B738,C3,6,21,471.25,,
18,SWA1711,33L,KBWI,02/17/2017 17:30:00,B738,B14,8,10,291.32,,
19,SWA4656,33L,KBWI,02/17/2017 21:00:00,B737,A3,9,10,195.01,,
20,GGN7354,33L,KBWI,02/17/2017 21:35:00,CRJ2,D7,5,21,237.05,,
21,SWA330,33L,KBWI,02/17/2017 19:40:00,B738,A5,10,10,188.45,,
22,AAL1962,33L,KBWI,02/17/2017 21:44:00,A320,C5,6,29-E,452.7,,
