,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
0,FFT9202,16L,KDEN,02/17/2017 11:00:00,A320,A37,12,21,1585.09,1242.1,517.3
1,SKW5405,16R,KDEN,02/17/2017 14:15:00,CRJ2,B63,7,8,530.22,,
2,SKW5313,16R,KDEN,02/17/2017 13:25:00,CRJ2,B89,8,5,712.39,,
3,NKS562,16R,KDEN,02/17/2017 15:55:00,A320,A52,15,5,2544.19,,
4,AAL445,16L,KDEN,02/17/2017 14:25:00,A321,A51,13,21,1598.79,,
5,SKW5548,16R,KDEN,02/17/2017 16:56:00,CRJ2,B83,8,5,845.8,,
6,SWA757,16L,KDEN,02/17/2017 16:35:00,B737,C41,2,26,749.97,,
7,SKW5220,16R,KDEN,02/17/2017 17:40:00,CRJ7,B91,8,5,723.82,,
8,AAL2298,16L,KDEN,02/17/2017 16:50:00,A321,A49,13,26,1117.64,,
9,FFT402,16R,KDEN,02/17/2017 17:20:00,A320,A40,15,8,1765.87,,
10,SKW5363,16L,KDEN,02/17/2017 18:07:00,CRJ2,B82,11,23,548.06,,
11,FFT822,16R,KDEN,02/17/2017 18:10:00,A319,A34,14,8,1462.92,,
12,SKW5657,16R,KDEN,02/17/2017 19:30:00,CRJ2,B86,11,8,613.94,,
13,SWA1600,16L,KDEN,02/17/2017 19:45:00,B738,C32,3,21,857.76,,
14,SWA3253,16L,KDEN,02/17/2017 18:20:00,B737,C33,1,21,1177.05,,
15,SKW5152,16R,KDEN,02/17/2017 20:33:00,CRJ2,B88,11,8,689.03,,
16,FFT774,16R,KDEN,02/17/2017 20:30:00,A319,A42,15,8,1611.84,,
17,SWA1488,16R,KDEN,02/17/2017 20:45:00,B738,C44,4,5,1321.44,,
18,FFT264,16R,KDEN,02/17/2017 20:15:00,A320,A38,14,8,1451.36,,
19,SKW5102,16L,KDEN,02/17/2017 20:44:00,CRJ2,B85,8,23,734.96,,
20,FFT293,16L,KDEN,02/17/2017 19:02:00,A320,A44,15,21,1709.62,,
21,FFT711,16L,KDEN,02/17/2017 18:55:00,A319,A40,15,21,1659.19,,
22,CPZ5837,7,KDEN,02/17/2017 21:45:00,E75S,A28,14,60,473.26,,
23,NKS975,16L,KDEN,02/17/2017 22:20:00,A320,A52,15,26,1502.58,,
24,SKW5212,7,KDEN,02/17/2017 22:45:00,CRJ2,B69,7,46,602.82,,
25,DAL2831,16R,KDEN,02/17/2017 21:09:00,A319,A27,12,5,1657.84,,
26,SKW5863,16R,KDEN,02/17/2017 23:24:00,E75L,B49,6,8,524.13,,
27,SWA3101,8,KDEN,02/17/2017 23:35:00,B737,C28,3,28,1372.27,,
28,SWA1678,16R,KDEN,02/17/2017 23:45:00,B737,C24,3,6,1224.76,,
