,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
0,AAL693,8,KPHX,02/17/2017 09:20:00,B752,B28,6,B10,722.44,723.24,353.19
1,AAL1598,8,KPHX,02/17/2017 13:35:00,B738,A11,5,B8,645.92,,
2,AAL1025,7L,KPHX,02/17/2017 14:15:00,B738,B13,6,E9,1411.15,,
3,AAL1073,8,KPHX,02/17/2017 13:10:00,B738,B27,7,B11,859.16,,
4,AAL592,8,KPHX,02/17/2017 14:00:00,A319,A9,5,B8,687.66,,
5,SKW3022,7R,KPHX,02/17/2017 14:20:00,CRJ7,B1,6,G5,420.13,,
6,AAL770,7R,KPHX,02/17/2017 14:00:00,A319,A12,4,G5,956.79,,
7,ASH5794,7R,KPHX,02/17/2017 15:01:00,CRJ9,A1,5,G7,517.69,,
8,DAL1514,8,KPHX,02/17/2017 12:55:00,MD90,18,1,B6,320.05,,
9,SKW3080,7R,KPHX,02/17/2017 14:45:00,CRJ7,B18,6,G5,400.23,,
10,SKW3132,8,KPHX,02/17/2017 14:45:00,CRJ2,B15C,7,B11,273.97,,
11,ASH5991,7R,KPHX,02/17/2017 14:40:00,CRJ9,B7,6,G5,397.05,,
12,AAL106,7R,KPHX,02/17/2017 14:45:00,B738,B26,6,G5,1019.26,,
13,ASH5947,8,KPHX,02/17/2017 14:40:00,CRJ9,B5,6,B11,279.77,,
14,AAL414,7R,KPHX,02/17/2017 13:30:00,A320,A6,4,G5,929.01,,
15,DAL2547,8,KPHX,02/17/2017 15:25:00,A320,19,2,B6,346.7,,
16,AAL625,8,KPHX,02/17/2017 12:15:00,A319,A17,4,B8,523.09,,
17,WJA1388,8,KPHX,02/17/2017 13:25:00,B737,B23,7,B11,833.81,,
18,AAL447,8,KPHX,02/17/2017 12:00:00,A321,A22,3,B8,385.47,,
19,ASH5844,7R,KPHX,02/17/2017 14:25:00,CRJ9,B16,6,G5,412.93,,
20,AAL531,7L,KPHX,02/17/2017 12:00:00,A319,B8,5,E12,1129.04,,
21,AAL319,8,KPHX,02/17/2017 14:45:00,B738,A11,5,B8,614.87,,
22,AAL534,7R,KPHX,02/17/2017 14:00:00,A320,A10,4,G5,863.55,,
23,AAL1456,8,KPHX,02/17/2017 13:15:00,B738,B11,6,B10,637.48,,
24,AAL2378,7R,KPHX,02/17/2017 11:40:00,B738,B13,6,G5,909.71,,
25,AAL1821,8,KPHX,02/17/2017 13:25:00,A319,B12,5,B8,651.34,,
26,ASH5896,8,KPHX,02/17/2017 16:11:00,CRJ9,A1,5,B10,212.79,,
27,AAL647,7L,KPHX,02/17/2017 12:25:00,A320,B2,5,E12,1069.71,,
28,AAL506,8,KPHX,02/17/2017 11:45:00,A321,A26,3,B8,361.83,,
29,ASH5956,8,KPHX,02/17/2017 15:40:00,CRJ9,B21,7,B11,283.04,,
30,AAL1431,8,KPHX,02/17/2017 11:25:00,B738,A3,5,B8,549.0,,
31,AAL582,8,KPHX,02/17/2017 12:25:00,A320,B6,5,B8,634.32,,
32,SKW3069,8,KPHX,02/17/2017 15:40:00,CRJ7,B1,6,B11,256.58,,
33,DAL1921,8,KPHX,02/17/2017 13:25:00,A320,15,2,B6,382.95,,
34,AAL568,7R,KPHX,02/17/2017 12:00:00,A321,A18,3,G5,865.06,,
35,ASH5906,8,KPHX,02/17/2017 13:49:00,CRJ9,B19,7,B11,307.74,,
36,ASH5816,8,KPHX,02/17/2017 15:45:00,CRJ9,B9,6,B11,228.37,,
37,AAL586,8,KPHX,02/17/2017 13:10:00,A319,B10,5,B8,706.28,,
38,CPZ5783,8,KPHX,02/17/2017 16:00:00,E75S,16,1,B7,276.93,,
39,AAL1572,8,KPHX,02/17/2017 13:17:00,B738,B14,5,B8,576.6,,
40,SWA245,8,KPHX,02/17/2017 16:20:00,B737,D2,11,B8,779.58,,
41,AAL448,8,KPHX,02/17/2017 14:50:00,A321,A24,3,B8,434.5,,
42,DAL1546,8,KPHX,02/17/2017 13:15:00,B752,17,2,B7,329.45,,
43,ASA636,8,KPHX,02/17/2017 14:55:00,B739,10,9,B8,1021.64,,
44,SWA1131,8,KPHX,02/17/2017 14:00:00,B738,C6,12,B8,983.42,,
45,WJA1532,8,KPHX,02/17/2017 14:35:00,B738,B27,7,B11,666.16,,
46,SWA653,8,KPHX,02/17/2017 17:20:00,B737,C11,12,B8,968.82,,
47,SWA1513,7L,KPHX,02/17/2017 17:40:00,B733,C18,13,E13,171.23,,
48,AAL566,8,KPHX,02/17/2017 16:35:00,A321,A21,4,B8,381.33,,
49,SWA1323,8,KPHX,02/17/2017 15:15:00,B737,D1,10,B8,841.3,,
50,AAL1783,7R,KPHX,02/17/2017 17:05:00,A321,A11,5,G5,940.23,,
51,AAL1820,7L,KPHX,02/17/2017 17:55:00,A321,A23,4,E11,711.47,,
52,SWA1111,8,KPHX,02/17/2017 17:40:00,B737,C16,13,B8,1592.85,,
53,AAL1380,8,KPHX,02/17/2017 16:10:00,B738,B13,6,B10,555.79,,
54,AAL544,8,KPHX,02/17/2017 16:25:00,A321,A29,4,B8,907.91,,
55,ASH5776,8,KPHX,02/17/2017 17:55:00,CRJ9,B18,6,B11,411.91,,
56,ASA644,8,KPHX,02/17/2017 17:00:00,B739,11,9,B8,1535.19,,
57,AAL1340,8,KPHX,02/17/2017 18:15:00,B738,B14,5,B8,460.26,,
58,SWA262,7L,KPHX,02/17/2017 17:05:00,B737,C17,12,E11,1095.51,,
59,SWA3218,7L,KPHX,02/17/2017 18:25:00,B737,C14,13,E11,1223.27,,
60,AAL491,7R,KPHX,02/17/2017 18:00:00,B752,A22,3,G4,1255.18,,
61,AAL1951,8,KPHX,02/17/2017 15:55:00,A321,A26,3,B8,951.15,,
62,AAL410,8,KPHX,02/17/2017 17:57:00,A319,B2,5,B8,1076.64,,
63,SWA1861,7R,KPHX,02/17/2017 18:45:00,B737,D2,11,G8,1244.41,,
64,SWA1444,7R,KPHX,02/17/2017 18:25:00,B737,D8,11,G8,1197.37,,
65,SWA4651,8,KPHX,02/17/2017 17:30:00,B737,D6,11,B8,1407.18,,
66,SWA3240,8,KPHX,02/17/2017 17:55:00,B737,D3,10,B8,1382.81,,
67,DAL1123,8,KPHX,02/17/2017 18:45:00,A320,15,2,B6,376.26,,
68,SWA756,8,KPHX,02/17/2017 16:20:00,B737,C13,12,B8,1443.76,,
69,AAL2023,8,KPHX,02/17/2017 16:50:00,A321,A30,3,B8,863.55,,
70,DAL1769,8,KPHX,02/17/2017 17:17:00,B753,19,2,B6,737.75,,
71,ASH5976,8,KPHX,02/17/2017 18:48:00,CRJ9,B9,6,B11,389.21,,
72,AAL472,8,KPHX,02/17/2017 17:00:00,A321,A7,5,B8,940.93,,
73,SKW3109,8,KPHX,02/17/2017 19:10:00,CRJ7,A1,5,B10,295.99,,
74,DAL1772,8,KPHX,02/17/2017 16:06:00,A333,23,2,B6,1199.78,,
75,AAL1618,8,KPHX,02/17/2017 14:30:00,B738,A19,4,B8,1006.71,,
76,AAL413,8,KPHX,02/17/2017 14:55:00,A320,A4,4,B8,956.98,,
77,SWA1712,8,KPHX,02/17/2017 19:15:00,B733,C3,11,B8,1350.07,,
78,SWA1785,8,KPHX,02/17/2017 17:45:00,B737,C7,11,B8,1458.32,,
