exit,runway,lat,long,distNode1,distNode2,distNode3,distNode4,distNode5,distNode6,distNode7,distNode8,distNode9,distNode10,distNode11,distNode12,distNode13,distNode14,distNode15,distNode16
0,"16R, 34L",39.895592,-104.696095,4720,4980,4837,5103,4797,5272,5551,5667,5215,5774,5783,5421,5725,5426,6223,5919
1,"16R, 34L",39.894714,-104.696138,4631,4891,4748,5014,4708,5183,5462,5578,5126,5685,5694,5332,5636,5337,6134,5830
2,"16R, 34L",39.891718,-104.696138,4296,4556,4413,4679,4373,4848,5127,5243,4791,5350,5359,4997,5301,5002,5799,5495
3,"16R, 34L",39.884732,-104.696224,3517,3777,3634,3900,3594,4069,4348,4464,4012,4571,4580,4218,4522,4223,5020,4716
4,"16R, 34L",39.882416,-104.696267,3617,3877,3734,4000,3694,4169,4448,4564,4112,4671,4680,4318,4622,4323,5120,4816
5,"16R, 34L",39.877434,-104.696288,2568,2828,2685,2951,2645,3120,3399,3515,3063,3622,3631,3269,3573,3274,4071,3767
6,"16R, 34L",39.875081,-104.696354,2468,2728,2585,2851,2545,3020,3299,3415,2963,3522,3531,3169,3473,3174,3971,3667
7,"16R, 34L",39.872732,-104.696354,2568,2828,2685,2951,2645,3120,3399,3515,3063,3622,3631,3269,3573,3274,4071,3767
8,"16R, 34L",39.867565,-104.696419,2339,2617,2131,2396,1943,2455,2792,2908,2207,2712,2905,2359,2663,2364,3155,2857
9,"16R, 34L",39.860394,-104.696526,1940,2218,1732,1997,1544,2056,2393,2509,1808,2313,2506,1960,2264,1965,2756,2458
10,"16R, 34L",39.855988,-104.696567,2436,2714,2228,2493,2040,2552,2889,3005,2304,2809,3002,2108,2458,2090,2720,3018
11,"16R, 34L",39.853009,-104.696588,2766,3044,2558,2823,2370,2882,3219,3062,2113,2618,2946,1778,2128,1760,2390,2688
12,"16R, 34L",39.852116,-104.69661,2716,2994,2508,2773,2320,2832,3169,3285,2017,2522,2850,1682,2032,1664,2294,2592
57,"7, 25",39.840653,-104.68426,2962,3240,2754,3019,2566,3078,3415,3531,2263,2768,3096,1928,2278,1910,2540,2838
58,"7, 25",39.840686,-104.685379,3057,3335,2849,3114,2661,3173,3510,3626,2358,2863,3191,2023,2373,2005,2635,2933
59,"7, 25",39.840686,-104.689314,3396,3674,3188,3453,3000,3512,3849,3965,2697,3202,3530,2362,2712,2344,2974,3272
60,"7, 25",39.840784,-104.698263,3358,3636,3150,3415,2962,3474,3811,3927,2659,3164,3492,2324,2674,2306,2936,3234
61,"7, 25",39.840899,-104.714785,5151,5429,4943,5208,4755,5267,5604,5720,4452,4957,5285,4117,4467,4099,4729,5027
62,"7, 25",39.840948,-104.72131,5451,5729,5243,5508,5055,5567,5904,6020,4752,5257,5585,4417,4767,4399,5029,5327
63,"7, 25",39.840964,-104.725248,5782,6060,5574,5839,5386,5898,6235,6351,5083,5588,5916,4748,5098,4730,5360,5658
64,"7, 25",39.840948,-104.726389,5882,6160,5674,5939,5486,5998,6335,6451,5183,5688,6016,4848,5198,4830,5460,5758
26,"16L, 34R",39.864325,-104.687215,960,1221,1078,1344,1038,1513,1792,1908,1610,2115,2024,1762,2096,1948,2656,2358
25,"16L, 34R",39.865462,-104.687193,1090,1351,1208,1474,1168,1643,1922,2038,1740,2245,2154,1892,2226,2078,2786,2488
24,"16L, 34R",39.868264,-104.687172,1402,1663,1520,1786,1480,1955,2234,2350,2052,2557,2466,2204,2538,2390,3098,2800
