exit,runway,lat,long,distNode1,distNode2,distNode3,distNode4,distNode5,distNode6,distNode7,distNode8,distNode9,distNode10,distNode11,distNode12,distNode13
B1,"8, 26",33.440835,-112.029628,2092,2183,2766,2843,3075,3301,3514,4134,4050,3574,3744,3890,4058
B2,"8, 26",33.44087,-112.028381,1998,2089,2672,2749,2981,3207,3420,4040,3956,3480,3650,3796,3964
B3,"8, 26",33.440852,-112.026705,1844,1935,2518,2595,2827,3053,3266,3886,3802,3326,3496,3642,3810
B4,"8, 26",33.440816,-112.020348,1301,1392,1975,2052,2284,2510,2723,3343,3259,2783,2953,3099,3267
B5,"8, 26",33.440798,-112.016911,1024,1115,1698,1775,2007,2233,2446,3066,2982,2506,2676,2822,2990
B6,"8, 26",33.440816,-112.013453,680,771,1354,1431,1663,1889,2102,2722,2638,2162,2332,2478,2646
B7,"8, 26",33.440798,-112.010788,469,560,1143,1220,1452,1678,1891,2511,2427,1951,2121,2267,2435
B8,"8, 26",33.440798,-112.007332,424,347,621,698,930,1156,1369,2046,1962,1486,1656,1802,1970
B9,"8, 26",33.440816,-112.004757,697,590,474,551,783,1009,1222,1842,1758,1282,1452,1598,1766
B10,"8, 26",33.440798,-112.001219,901,794,408,227,445,661,874,2192,2108,1543,1713,1859,2027
B11,"8, 26",33.440815,-111.998411,916,839,606,376,294,449,647,2423,2339,1774,1944,2090,2258
B12,"8, 26",33.440815,-111.993648,1343,1266,1033,803,721,399,480,2850,2766,2201,2371,2517,2685
B13,"8, 26",33.440833,-111.992384,1457,1380,1147,917,835,377,454,2964,2880,2226,2396,2542,2710
B14,"8, 26",33.440797,-111.991248,1573,1496,1263,1033,951,493,570,3080,2996,2253,2423,2569,2737
E3,"7L, 25R",33.43111,-112.027007,3243,3162,3132,3209,3441,3667,3880,1428,1679,2913,3083,3229,3397
E4,"7L, 25R",33.431074,-112.025088,3112,3031,3001,3078,3310,3536,3749,1297,1548,2782,2952,3098,3266
E5,"7L, 25R",33.431075,-112.019914,2617,2536,2506,2583,2815,3041,3254,802,1053,2287,2457,2603,2771
E6,"7L, 25R",33.431075,-112.01564,2222,2141,2111,2188,2420,2346,2859,424,465,1808,1978,2124,2292
E7,"7L, 25R",33.431093,-112.012699,1954,1873,1843,1920,2152,2078,2591,525,415,1540,1710,1856,2024
E8,"7L, 25R",33.431112,-112.009028,1669,1588,1558,1635,1867,1793,2306,689,605,1255,1425,1571,1739
E9,"7L, 25R",33.43104,-112.006281,1408,1327,1297,1374,1606,1532,2045,950,866,994,1164,1310,1478
E10,"7L, 25R",33.431058,-112.003276,1356,1275,978,1210,1287,1513,1726,1190,1106,754,924,1070,1238
E11,"7L, 25R",33.431059,-111.99965,1608,1527,1319,1551,1628,1854,2067,1069,985,438,378,522,656
E12,"7L, 25R",33.431041,-111.995125,1947,1739,1971,2048,2274,2487,1489,1405,858,536,471,400,462
E13,"7L, 25R",33.431023,-111.993559,2069,1861,2093,2170,2396,2609,1611,1527,980,810,642,496,340
G1,"7R, 25L",33.428844,-112.026904,3407,3326,3296,3373,3605,3831,4044,1592,1843,3077,3247,3393,3561
G2,"7R, 25L",33.428952,-112.024862,3304,3223,3193,3270,3502,3728,3941,1489,1740,2974,3144,3290,3458
G3,"7R, 25L",33.428863,-112.02153,2773,2692,2662,2739,2971,2897,3410,975,1016,2359,2529,2675,2843
G4,"7R, 25L",33.428845,-112.01657,2297,2216,2186,2263,2495,2421,2934,499,540,1883,2053,2199,2367
G5,"7R, 25L",33.428862,-112.01086,1862,1781,1751,1828,2060,1986,2499,938,979,1448,1618,1764,1932
G6,"7R, 25L",33.428898,-112.008005,1753,1672,1642,1719,1951,1877,2390,991,907,1339,1509,1655,1823
G7,"7R, 25L",33.428916,-112.005172,1704,1623,1326,1558,1635,1861,2373,1278,1454,1102,1272,1418,1586
G8,"7R, 25L",33.428844,-112.001889,1642,1561,1264,1496,1573,1799,2012,1476,1392,826,766,910,1044
