gate,node
A26,14
A27,12
A28,14
A29,12
A30,14
A31,12
A32,14
A33,12
A34,14
A35,12
A36,14
A37,12
A38,14
A39,12
A40,15
A41,13
A42,15
A43,13
A44,15
A45,13
A46,15
A47,13
A48,15
A49,13
A50,15
A51,13
A52,15
A53,13
A56,16
A59,16
A60,16
A61,16
A62,16
A63,16
A64,16
A65,16
A67,16
A68,16
B15,5
B16,9
B17,5
B18,9
B19,5
B20,9
B21,5
B22,9
B23,5
B24,9
B25,5
B26,9
B27,5
B28,9
B29,5
B30,9
B31,5
B32,9
B33,5
B34,9
B35,5
B36,9
B37,5
B38,10
B39,6
B41,6
B42,10
B43,6
B44,10
B45,6
B46,10
B47,6
B48,10
B49,6
B50,10
B51,6
B52,10
B53,6
B54,10
B55,6
B56,10
B57,7
B58,10
B59,7
B60,10
B61,7
B63,7
B65,7
B67,7
B69,7
B71,7
B73,7
B77,7
B79,7
B80,11
B81,8
B82,11
B83,8
B84,11
B85,8
B86,11
B87,8
B88,11
B89,8
B90,11
B91,8
B92,11
B93,11
B94,11
B95,11
C23,1
C24,3
C25,1
C26,3
C27,1
C28,3
C29,1
C30,3
C31,1
C32,3
C33,1
C34,3
C35,1
C36,3
C37,1
C38,3
C39,1
C40,4
C41,2
C42,4
C43,2
C44,4
C45,2
C46,4
C47,2
C48,4
C49,2
C50,2
