gate,node
1,9
2,8
3,9
5,9
6A,8
6B,8
7,9
8,8
10,9
11,9
15,2
16,1
17,2
18,1
19,2
20,1
23,2
24,1
25,2
26,1
A1,5
A2,4
A3,5
A4,4
A5,5
A6,4
A7,5
A8,4
A9,5
A10,4
A11,5
A12,4
A13,5
A14,4
A17,4
A18,3
A19,4
A20,3
A21,4
A22,3
A23,4
A24,3
A25,4
A26,3
A27,4
A28,3
A29,4
A30,3
B1,6
B1A,6
B2,5
B3,6
B4,5
B5,6
B6,5
B7,6
B8,5
B9,6
B10,5
B11,6
B12,5
B13,6
B14,5
B15A,7
B15B,7
B15C,7
B16,6
B17,7
B18,6
B19,7
B20,6
B21,7
B22,6
B23,7
B24,6
B25,7
B26,6
B27,7
B28,6
C1,11
C2,12
C3,11
C4,12
C6,12
C7,11
C8,12
C9,11
C11,12
C12,13
C13,12
C14,13
C16,13
C17,12
C18,13
C19,12
D1,10
D2,11
D3,10
D4,11
D5,10
D6,11
D7,10
D8,11
