Date:,Hour:,Visibility (sm):,Precipitation ID:,Temp. (f):,Rel. Humid. (%):,Wind Speed (mph):,Wind Dir.:,Air Press. (hg):,Percip. (in):
9.20.16,0,10,,77,64,9,20,28.93,
9.20.16,1,10,,76,67,13,30,28.93,
9.20.16,2,10,,74,74,8,40,28.92,
9.20.16,3,10,,73,76,8,30,28.93,
9.20.16,4,10,,73,76,7,30,28.94,
9.20.16,5,10,,72,79,8,40,28.96,
9.20.16,6,10,,72,82,9,60,28.98,
9.20.16,7,10,,74,76,10,80,28.99,
9.20.16,8,10,,77,74,10,100,29,
9.20.16,9,10,,80,69,9,80,29.02,
9.20.16,10,10,,82,67,9,40,29.01,
9.20.16,11,10,,83,61,9,50,29,
9.20.16,12,10,,85,57,5,VR,28.98,
9.20.16,13,10,,85,53,7,50,28.96,
9.20.16,14,10,,87,46,3,VR,28.94,
9.20.16,15,10,,87,45,6,VR,28.93,
9.20.16,16,10,,88,40,6,360,28.93,
9.20.16,17,10,,86,43,7,70,28.93,
9.20.16,18,10,,83,49,6,100,28.93,
9.20.16,19,10,,82,51,7,70,28.94,
9.20.16,20,10,,80,58,0,0,28.96,
9.20.16,21,10,,77,69,0,0,28.96,
9.20.16,22,10,,77,67,0,0,28.97,
9.20.16,23,10,,76,69,0,0,28.97,
9.21.16,0,10,,73,82,0,0,28.97,
9.21.16,1,10,,72,82,6,80,28.97,
9.21.16,2,10,,73,79,5,80,28.98,
9.21.16,3,10,,74,74,3,90,28.98,
9.21.16,4,10,,71,84,6,80,28.99,
9.21.16,5,10,,72,82,0,0,29,
9.21.16,6,10,,72,82,5,60,29.01,
9.21.16,7,10,,75,76,3,110,29.02,
9.21.16,8,10,,78,69,0,0,29.02,
9.21.16,9,10,,80,62,3,VR,29.03,
9.21.16,10,10,,83,53,6,160,29.02,
9.21.16,11,10,,86,46,7,40,29,
9.21.16,12,10,,86,46,10,360,28.98,
9.21.16,13,10,,90,42,13,360,28.96,
9.21.16,14,10,,90,41,8,350,28.94,
9.21.16,15,10,,88,40,10,360,28.93,
9.21.16,16,10,,89,42,11,360,28.93,
9.21.16,17,10,,88,42,10,10,28.94,
9.21.16,18,10,,86,45,8,350,28.94,
9.21.16,19,10,,85,48,8,10,28.95,
9.21.16,20,10,,81,56,11,80,28.97,
9.21.16,21,10,,79,60,10,90,28.98,
9.21.16,22,10,,76,67,7,90,28.99,
9.21.16,23,10,,76,67,3,120,29,
9.22.16,0,10,,75,71,7,100,28.98,
9.22.16,1,10,,74,74,5,90,28.98,
9.22.16,2,10,,73,76,8,90,28.98,
9.22.16,3,10,,72,79,6,90,28.98,
9.22.16,4,10,,71,79,8,80,28.99,
9.22.16,5,10,,71,79,6,100,29,
9.22.16,6,10,,71,79,5,100,29.01,
9.22.16,7,10,,74,74,7,90,29.02,
9.22.16,8,10,,77,67,9,80,29.03,
9.22.16,9,10,,79,62,6,60,29.02,
9.22.16,10,10,,82,55,10,40,29.01,
9.22.16,11,10,,84,51,7,310,29,
9.22.16,12,10,,86,48,7,VR,28.97,
9.22.16,13,10,,88,45,13,320,28.95,
9.22.16,14,10,,88,45,5,300,28.93,
9.22.16,15,10,,88,45,8,350,28.92,
9.22.16,16,10,,88,43,10,330,28.91,
9.22.16,17,10,,88,43,5,330,28.9,
9.22.16,18,10,,86,45,5,340,28.9,
9.22.16,19,10,,85,48,6,20,28.91,
9.22.16,20,10,,82,55,9,80,28.93,
9.22.16,21,10,,79,65,8,110,28.95,
9.22.16,22,10,,78,67,7,120,28.97,
9.22.16,23,10,,76,71,7,110,28.97,
9.23.16,0,10,,75,74,7,110,28.97,
9.23.16,1,10,,72,82,7,90,28.97,
9.23.16,2,10,,72,82,6,80,28.97,
9.23.16,3,10,,71,84,7,90,28.97,
9.23.16,4,10,,70,87,6,80,28.98,
9.23.16,5,10,,71,87,7,70,28.99,
9.23.16,6,10,,72,84,5,90,29.01,
9.23.16,7,10,,74,79,8,80,29.02,
9.23.16,8,10,,77,74,7,80,29.03,
9.23.16,9,10,,78,69,0,0,29.03,
9.23.16,10,10,,82,63,3,110,29.02,
9.23.16,11,10,,84,55,3,10,29,
9.23.16,12,10,,87,52,9,330,28.98,
9.23.16,13,10,,88,47,5,330,28.95,
9.23.16,14,10,,89,45,7,VR,28.93,
9.23.16,15,10,,89,42,7,330,28.92,
9.23.16,16,10,,89,42,8,340,28.93,
9.23.16,17,10,,87,43,6,320,28.92,
9.23.16,18,10,,86,45,5,VR,28.92,
9.23.16,19,10,,82,55,0,0,28.93,
9.23.16,20,10,,80,62,0,0,28.95,
9.23.16,21,10,,78,64,0,0,28.96,
9.23.16,22,10,,78,69,0,0,28.97,
9.23.16,23,10,,77,69,0,0,28.97,
9.24.16,0,10,,75,74,0,0,28.97,
9.24.16,1,10,,75,76,0,0,28.97,
9.24.16,2,10,,76,71,0,0,28.97,
9.24.16,3,10,,74,79,0,0,28.97,
9.24.16,4,10,,74,76,3,320,28.97,
9.24.16,5,10,,75,74,0,0,28.99,
9.24.16,6,10,,72,82,0,0,29,
9.24.16,7,10,,80,62,0,0,29.02,
9.24.16,8,10,,82,58,0,0,29.02,
9.24.16,9,10,,83,57,6,270,29.03,
9.24.16,10,10,,87,50,7,320,29.03,
9.24.16,11,10,,88,47,6,310,29.02,
9.24.16,12,10,,90,42,0,0,29,
9.24.16,13,10,,88,43,7,340,28.97,
9.24.16,14,10,,91,38,5,330,28.95,
9.24.16,15,10,,91,39,0,0,28.94,
9.24.16,16,10,,91,38,6,30,28.93,
9.24.16,17,10,,89,41,6,60,28.94,
9.24.16,18,10,,83,55,0,0,28.94,
