Date:,Hour:,Visibility (sm):,Precipitation ID:,Temp. (f):,Rel. Humid. (%):,Wind Speed (mph):,Wind Dir.:,Air Press. (hg):,Percip. (in):
12.1.16,0,10,,16,64,13,160,24.47,
12.1.16,1,10,,18,59,13,160,24.49,
12.1.16,2,10,,16,67,7,190,24.5,
12.1.16,3,10,,23,46,8,210,24.5,
12.1.16,4,10,,21,55,9,210,24.5,
12.1.16,5,10,,23,48,7,230,24.5,
12.1.16,6,10,,24,48,10,240,24.5,
12.1.16,7,10,,26,46,9,240,24.51,
12.1.16,8,10,,30,36,8,250,24.52,
12.1.16,9,10,,32,33,5,230,24.52,
12.1.16,10,10,,35,28,3,280,24.51,
12.1.16,11,10,,39,23,5,300,24.5,
12.1.16,12,10,,39,23,5,130,24.48,
12.1.16,13,10,,41,22,8,90,24.46,
12.1.16,14,10,,40,23,9,100,24.46,
12.1.16,15,10,,37,27,7,90,24.48,
12.1.16,16,10,,30,34,8,80,24.49,
12.1.16,17,10,,27,43,8,80,24.5,
12.1.16,18,10,,30,43,9,100,24.52,
12.1.16,19,10,,27,47,9,100,24.54,
12.1.16,20,10,,24,53,8,130,24.55,
12.1.16,21,10,,26,48,7,120,24.55,
12.1.16,22,10,,26,51,9,140,24.57,
12.1.16,23,10,,24,53,8,130,24.57,
12.2.16,0,10,,22,60,7,140,24.6,
12.2.16,1,10,,23,57,7,150,24.6,
12.2.16,2,10,,22,63,9,160,24.62,
12.2.16,3,10,,24,60,10,150,24.62,
12.2.16,4,10,,22,63,8,130,24.63,
12.2.16,5,10,,22,63,5,230,24.65,
12.2.16,6,10,,23,63,5,230,24.66,
12.2.16,7,10,,25,60,7,240,24.7,
12.2.16,8,10,,28,51,5,230,24.71,
12.2.16,9,10,,30,56,5,110,24.73,
12.2.16,10,10,,32,59,8,90,24.72,
12.2.16,11,10,,32,59,9,100,24.71,
12.2.16,12,1,,30,78,8,90,24.71,0.01
12.2.16,13,10,,31,78,9,60,24.69,T
12.2.16,14,10,,32,69,9,110,24.68,
12.2.16,15,10,,31,66,9,90,24.68,
12.2.16,16,10,,28,75,6,100,24.69,
12.2.16,17,10,,27,81,5,110,24.69,
12.2.16,18,10,,25,81,6,160,24.7,
12.2.16,19,10,,22,78,13,170,24.69,
12.2.16,20,10,,20,81,11,180,24.69,
12.2.16,21,10,,17,81,10,170,24.67,
12.2.16,22,10,,23,74,11,210,24.68,
12.2.16,23,10,,16,84,7,180,24.66,
12.3.16,0,10,,16,84,9,150,24.64,
12.3.16,1,10,,21,74,5,220,24.62,
12.3.16,2,10,,19,77,7,230,24.6,
12.3.16,3,10,,19,77,6,240,24.6,
12.3.16,4,10,,18,81,7,230,24.57,
12.3.16,5,5,,18,77,7,240,24.57,
12.3.16,6,4,,17,96,5,210,24.57,
12.3.16,7,4,,20,88,6,220,24.56,
12.3.16,8,4,,26,81,5,240,24.56,
12.3.16,9,10,,31,64,6,230,24.56,
12.3.16,10,10,,36,48,0,0,24.55,
12.3.16,11,10,,39,36,0,0,24.53,
12.3.16,12,10,,39,33,0,0,24.52,
12.3.16,13,10,,41,30,5,360,24.51,
12.3.16,14,10,,38,37,5,10,24.52,
12.3.16,15,10,,37,48,6,40,24.53,
12.3.16,16,9,,31,61,6,50,24.55,
12.3.16,17,10,,31,59,3,60,24.55,
12.3.16,18,10,,31,56,0,0,24.58,
12.3.16,19,10,,28,58,0,0,24.58,
12.3.16,20,10,,27,58,7,250,24.6,
12.3.16,21,10,,25,58,7,210,24.59,
12.3.16,22,10,,27,49,6,230,24.59,
12.3.16,23,10,,23,55,10,250,24.58,
12.4.16,0,10,,23,52,8,240,24.59,
12.4.16,1,10,,22,55,10,210,24.58,
12.4.16,2,10,,21,55,8,210,24.57,
12.4.16,3,10,,18,59,9,180,24.55,
12.4.16,4,10,,20,54,10,210,24.56,
12.4.16,5,10,,23,50,14,190,24.55,
