Date:,Hour:,Visibility (sm):,Precipitation ID:,Temp. (f):,Rel. Humid. (%):,Wind Speed (mph):,Wind Dir.:,Air Press. (hg):,Percip. (in):
9.20.16,0,10,,87,37,9,360,28.77,
9.20.16,1,10,,86,37,10,310,28.77,
9.20.16,2,10,,85,39,8,300,28.77,
9.20.16,3,10,,84,43,8,320,28.77,
9.20.16,4,10,,83,46,10,330,28.75,T
9.20.16,5,10,,82,49,3,220,28.76,
9.20.16,6,10,,82,49,7,160,28.78,
9.20.16,7,10,,83,48,6,250,28.79,
9.20.16,8,10,,83,49,9,260,28.8,
9.20.16,9,10,,84,43,11,260,28.82,
9.20.16,10,10,,86,40,17,280,28.81,
9.20.16,11,10,,85,43,11,290,28.8,
9.20.16,12,10,,86,43,11,310,28.78,
9.20.16,13,10,,89,38,13,320,28.76,
9.20.16,14,10,,87,43,17,330,28.75,
9.20.16,15,10,,88,42,16,310,28.74,
9.20.16,16,10,,87,42,17,330,28.72,
9.20.16,17,10,,86,42,14,330,28.72,
9.20.16,18,10,,86,40,9,340,28.72,
9.20.16,19,9,,86,39,8,310,28.72,
9.20.16,20,10,,85,40,7,300,28.74,
9.20.16,21,10,,84,41,6,220,28.74,
9.20.16,22,10,,83,44,5,210,28.73,
9.20.16,23,10,,82,46,5,190,28.73,
9.21.16,0,10,,82,47,0,0,28.71,
9.21.16,1,10,,81,49,3,250,28.7,
9.21.16,2,10,,80,52,5,230,28.69,
9.21.16,3,10,,80,51,3,130,28.69,
9.21.16,4,10,,79,54,0,0,28.69,
9.21.16,5,10,,79,58,3,100,28.69,
9.21.16,6,10,,79,54,9,90,28.7,
9.21.16,7,10,,80,54,9,120,28.71,
9.21.16,8,10,,83,49,7,90,28.73,
9.21.16,9,10,,88,42,5,VR,28.73,
9.21.16,10,10,,87,43,3,90,28.72,
9.21.16,11,10,,92,37,6,VR,28.7,
9.21.16,12,10,,95,34,9,160,28.66,
9.21.16,13,10,,97,30,10,170,28.64,
9.21.16,14,10,,97,30,9,210,28.61,
9.21.16,15,10,,99,28,8,250,28.58,
9.21.16,16,10,,98,28,14,290,28.58,
9.21.16,17,10,,96,30,13,290,28.57,
9.21.16,18,10,,92,41,23,260,28.59,
9.21.16,19,10,,89,47,17,270,28.61,
9.21.16,20,10,,87,50,18,270,28.62,
9.21.16,21,10,,85,55,16,270,28.64,
9.21.16,22,10,,84,59,13,280,28.65,
9.21.16,23,10,,83,59,11,290,28.65,
9.22.16,0,10,,82,61,8,290,28.65,
9.22.16,1,10,,82,58,7,290,28.65,
9.22.16,2,10,,81,60,6,270,28.65,
9.22.16,3,10,,81,60,8,290,28.65,
9.22.16,4,10,,80,62,0,0,28.65,
9.22.16,5,10,,79,65,5,10,28.65,
9.22.16,6,10,,79,62,0,0,28.66,
9.22.16,7,10,,79,62,7,190,28.66,
9.22.16,8,10,,81,58,10,140,28.66,
9.22.16,9,10,,84,51,13,170,28.66,
9.22.16,10,10,,82,61,13,270,28.66,
9.22.16,11,10,,76,85,0,0,28.68,0.01
9.22.16,12,10,,82,65,9,310,28.66,
9.22.16,13,10,,84,57,6,VR,28.62,
9.22.16,14,10,,86,51,8,270,28.6,
9.22.16,15,1.25,1,74,90,14,260,28.61,0.19
9.22.16,16,10,,76,87,9,70,28.57,0.06
9.22.16,17,10,,78,77,8,90,28.56,
9.22.16,18,10,,77,76,7,100,28.55,
9.22.16,19,10,,77,76,3,110,28.55,
9.22.16,20,10,,75,85,5,100,28.57,
9.22.16,21,10,,78,74,5,90,28.58,
9.22.16,22,10,,78,71,5,200,28.59,
9.22.16,23,10,,79,65,3,160,28.59,
9.23.16,0,10,,80,62,9,280,28.6,
9.23.16,1,10,,78,69,8,280,28.61,
9.23.16,2,10,,77,69,6,260,28.61,
9.23.16,3,10,,77,39,8,270,28.61,
9.23.16,4,9,,73,32,6,240,28.63,
9.23.16,5,10,,71,28,7,260,28.65,
9.23.16,6,7,,73,20,10,300,28.68,
9.23.16,7,9,,74,19,7,240,28.69,
9.23.16,8,10,,74,17,11,280,28.71,
9.23.16,9,10,,75,14,11,290,28.75,
